tank_id,tank_name,level,max_capacity,min_level,max_level,temperature,pressure,humidity,status,unit,location,type
T001,Alpha Tank,245.5,1000,50,950,22.5,1.2,45,OK,L,Zone A-1,Fuel
T002,Beta Tank,678.2,1200,60,1100,23.1,1.1,42,OK,L,Zone A-2,Water
T003,Gamma Tank,892.7,1500,75,1400,21.8,1.3,48,WARNING,L,Zone B-1,Chemical
T004,Delta Tank,156.3,800,40,750,24.2,1.0,40,OK,L,Zone B-2,Oil
T005,Epsilon Tank,445.8,1000,50,950,22.9,1.2,44,OK,L,Zone C-1,Fuel
T006,Zeta Tank,723.4,1300,65,1200,23.5,1.1,43,OK,L,Zone C-2,Water
T007,Eta Tank,334.1,900,45,850,25.1,1.4,50,ERROR,L,Zone D-1,Chemical
T008,Theta Tank,567.9,1100,55,1050,22.3,1.2,41,OK,L,Zone D-2,Oil
T009,Iota Tank,789.2,1400,70,1350,23.8,1.1,46,OK,L,Zone E-1,Fuel
T010,Kappa Tank,123.6,700,35,650,21.5,1.3,47,WARNING,L,Zone E-2,Water
T011,Lambda Tank,456.7,1000,50,950,24.7,1.0,39,OK,L,Zone F-1,Chemical
T012,Mu Tank,634.8,1200,60,1150,22.1,1.2,45,OK,L,Zone F-2,Oil
